课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113017, 时间：2019-04-29T16:15:32.829729
课程：python, 学号：201811113018, 时间：2019-04-29T16:15:32.821730
课程：python, 学号：201811113022, 时间：2019-04-29T16:15:32.826728
课程：python, 学号：201811123030, 时间：2019-04-29T16:15:32.822728
课程：python, 学号：201811113018, 时间：2019-04-29T16:15:32.822728
课程：python, 学号：201811123019, 时间：2019-04-29T16:15:32.821730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.818728
课程：python, 学号：201811123004, 时间：2019-04-29T16:15:32.828730
课程：python, 学号：201811123004, 时间：2019-04-29T16:15:32.824728
课程：python, 学号：201811123030, 时间：2019-04-29T16:15:32.827734
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113008, 时间：2019-04-29T16:15:32.820730
课程：python, 学号：201811123019, 时间：2019-04-29T16:15:32.821730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811123019, 时间：2019-04-29T16:15:32.821730
课程：python, 学号：201811123001, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113024, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113008, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811113022, 时间：2019-04-29T16:15:32.824728
课程：python, 学号：201811123020, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811123006, 时间：2019-04-29T16:15:32.821730
课程：python, 学号：201811123010, 时间：2019-04-29T16:15:32.828730
课程：python, 学号：201811123026, 时间：2019-04-29T16:15:32.827734
课程：python, 学号：201811113023, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113030, 时间：2019-04-29T16:15:32.824728
课程：python, 学号：201811123019, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811123023, 时间：2019-04-29T16:15:32.828730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.818728
课程：python, 学号：201811113003, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811123020, 时间：2019-04-29T16:15:32.823730
课程：python, 学号：201811123004, 时间：2019-04-29T16:15:32.824728
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.818728
课程：python, 学号：201811123026, 时间：2019-04-29T16:15:32.829729
课程：python, 学号：201811123030, 时间：2019-04-29T16:15:32.825732
课程：python, 学号：201811123022, 时间：2019-04-29T16:15:32.822728
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.818728
课程：python, 学号：201811113013, 时间：2019-04-29T16:15:32.824728
课程：python, 学号：201811123026, 时间：2019-04-29T16:15:32.828730
课程：python, 学号：201811113027, 时间：2019-04-29T16:15:32.819730
课程：python, 学号：201811123006, 时间：2019-04-29T16:15:32.828730
课程：python, 学号：201811123015, 时间：2019-04-29T16:15:32.827734
课程：python, 学号：201811113011, 时间：2019-04-29T16:15:32.820730
课程：python, 学号：201811123019, 时间：2019-04-29T16:15:32.824728
课程：python, 学号：201811123018, 时间：2019-04-29T16:15:32.825732
